Variables: 000100000000000100001000010000101000000100100010001010000000000000111000000001000010000000001001000101100000100000000001010010000100000010101000010100000111110100100000000101010010110110001110000100000 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}
,Variables: 001010 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}
,Variables: 26 2 5 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}

Variables: 000100000000000100001000000000010000000100000010001000000000000000111000000001000010000000001001000000100000000000000000000010000100000010101000000010000001000000000011000000000000000001000000000100000 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}
,Variables: 001010 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}
,Variables: 18 2 5 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}

Variables: 000100000000001101001000010000101000000100100010001010000000000000111000000001000010000000011001000010100000000000000000000000000100000010101000000110000001000000000011000000000000000001000000000100000 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}
,Variables: 001111 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}
,Variables: 58 2 5 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}

Variables: 000100000000000100001000010000101000000100000010001000000000000000111000000001000010000000001001000000100000000000000000000010000100000010101000000110000001000000000011000000000000000001000000000100000 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}
,Variables: 001010 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}
,Variables: 10 2 5 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}

Variables: 000100000000000100011000010000101000000100000010001000000000000000111000000001000010000000001001000000100000000000000000010010000100100010100000010110101011000000000011000000001000010001000001010100000 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}
,Variables: 011000 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}
,Variables: 49 2 5 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}

Variables: 000100000000000100001000000000010000000100000010001000000000000000111000000001000000000000001001000000100000000000000000000000000100000010101000000010000001000000000011000000000000000001000000000100000 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}
,Variables: 000110 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}
,Variables: 18 2 5 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}

Variables: 010100000000000100001000000000001000000100000010001000000000000000101000000001000010000000001001000001100000000000000000000000000100000010101000000110000001000000000011000000000000000000000000000000000 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}
,Variables: 000000 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}
,Variables: 86 2 5 Objectives: 0.0 0.0 0.0 Constraints: 	AlgorithmAttributes: {}
